0,72.8.180.58,106.211.78.227,112,0.000000000,0.0004,0,
45,106.211.78.227,173.194.36.77,4499,27.907682000,18.7819,2,"'http://pubads.g.doubleclick.net/gampad/ads?gdfp_req=1&correlator=3586376410118264&output=json_html&callback=googletag.impl.pubads.setAdContentsBySlotForSync&impl=ss&json_a=1&iu_parts=7176%2CTOI%2CTOI_Home%2CTOI_Home_Home%2CTOI_HP_ATF_300%2CTOI_HP_BTF_300%2CTOI_HP_BTF_2_300%2CTOI_HP_BTF_728%2CTOI_HP_OP_Innov1%2CTOI_HP_OP_Innov2%2CTOI_HP_OP_Inter%2CTOI_HP_OP_Pop%2CTOI_HP_OP_Shosh&enc_prev_ius=%2F0%2F1%2F2%2F3%2F4%2C%2F0%2F1%2F2%2F3%2F5%2C%2F0%2F1%2F2%2F3%2F6%2C%2F0%2F1%2F2%2F3%2F7%2C%2F0%2F1%2F2%2F3%2F8%2C%2F0%2F1%2F2%2F3%2F9%2C%2F0%2F1%2F2%2F3%2F10%2C%2F0%2F1%2F2%2F3%2F11%2C%2F0%2F1%2F2%2F3%2F12&prev_iu_szs=300x250%7C300x1050%2C300x250%2C300x250%2C728x90%7C1003x90%2C1x1%2C1x1%2C1x1%2C1x1%2C1x1&ists=31&prev_scp=L1%3D%26L2%3D%26L3%3D%26H1%3D%26ARC1%3D%26Hyp1%3D%7CL1%3D%26L2%3D%26L3%3D%26H1%3D%26ARC1%3D%26Hyp1%3D%7CL1%3D%26L2%3D%26L3%3D%26H1%3D%26ARC1%3D%26Hyp1%3D%7CL1%3D%26L2%3D%26L3%3D%26H1%3D%26ARC1%3D%26Hyp1%3D%7CL1%3D%26L2%3D%26L3%3D%26H1%3D%26ARC1%3D%26Hyp1%3D%7CL1%3D%26L2%3D%26L3%3D%26H1%3D%26ARC1%3D%26Hyp1%3D%7CL1%3D%26L2%3D%26L3%3D%26H1%3D%26ARC1%3D%26Hyp1%3D%7CL1%3D%26L2%3D%26L3%3D%26H1%3D%26ARC1%3D%26Hyp1%3D%7CL1%3D%26L2%3D%26L3%3D%26H1%3D%26ARC1%3D%26Hyp1%3D&cust_params=article%3D&cookie_enabled=1&lmt=1365678649&dt=1365678979977&biw=980&bih=1544&oid=3&gut=v2&ifi=1&u_tz=330&u_his=2&u_h=1280&u_w=720&u_ah=1280&u_aw=720&u_cd=16&u_nplug=1&u_nmime=2&u_sd=1&flash=11.1.115&url=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&adks=2183620676%2C3382079902%2C3201633559%2C2461631983%2C2925889651%2C3177099842%2C1289472957%2C75062424%2C2018634876&vrg=20&vrp=20&ga_vid=1669132600.1365678980&ga_sid=1365678980&ga_hid=541177314'::27.907740000, 'http://pubads.g.doubleclick.net/gampad/ads?gdfp_req=1&correlator=3930753251259162&output=json_html&callback=window.parent.googletag.impl.pubads.setAdContentsBySlotForAsync&impl=fifs&json_a=1&iu_parts=7176%2CTOI%2CTOI_Home%2CTOI_Home_Slug%2CTOI_SLG_HP_RHS_BTF_300&enc_prev_ius=%2F0%2F1%2F2%2F3%2F4&prev_iu_szs=300x80&cookie_enabled=1&cdm=timesofindia.indiatimes.com&lmt=1365588375&dt=1365678994399&cc=100&ea=0&biw=-12245933&bih=-12245933&oid=3&gut=v2&ifi=1&ifk=3415297738&u_tz=330&u_his=2&u_h=1280&u_w=720&u_ah=1280&u_aw=720&u_cd=16&u_nplug=1&u_nmime=2&u_sd=1&flash=11.1.115&url=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&ref=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&adks=4281759372&vrg=20&vrp=20&ga_vid=104534733.1365678996&ga_sid=1365678996&ga_hid=2052311229'::46.288898000"
46,106.211.78.227,184.73.178.248,424,28.144410000,6.5356,0,
47,106.211.78.227,54.235.79.95,424,28.430671000,6.2494,0,
48,106.211.78.227,23.35.36.211,424,28.442900000,6.1673,0,
49,106.211.78.227,173.194.36.91,3250,28.500158000,2.0091,2,"'http://ad.doubleclick.net/N7176/adj/IPL2013_MKT/IPL2013_CMS_HP;sz=980x40,980x30;ord=140299969926873?'::28.500158000, 'http://ad.doubleclick.net/N7176/adj/TOI/Google_Hangouts_TOI_HP_337x46;sz=337x46;ord=140299969926873?'::30.305493000"
50,106.211.78.227,23.23.172.8,424,28.792412000,5.9289,0,
51,106.211.78.227,223.165.24.181,3554,28.821676000,16.3918,2,"'http://adsmediaturf.indiatimes.com/creatives/2013/IPL2013/play.png'::28.902802000, 'http://adsmediaturf.indiatimes.com/creatives/2013/IPL2013/h_bg.gif'::29.829536000"
52,106.211.78.227,223.165.31.12,1874,30.095412000,0.2141,1,'http://netspiderads3.indiatimes.com/ads.dll/getad?slotid=1203'::30.194707000
53,106.211.78.227,96.17.182.65,66719,30.244340000,4.3412,4,"'http://adscontent3.indiatimes.com/photo/18991523.cms'::30.281049000, 'http://adscontent3.indiatimes.com/photo/17796167.cms'::30.361444000, 'http://adscontent3.indiatimes.com/NS_Flash_v8.js'::32.610503000, 'http://adscontent3.indiatimes.com/photo/19461733.cms'::33.374669000"
54,106.211.78.227,96.17.182.65,424,30.328387000,6.3906,0,
