27.60.1.124,96.17.182.17,204,59.169426000,0.0625,0 objects
27.60.1.124,74.125.128.188,2710,62.038978000,115.1156,0 objects
27.60.1.124,173.194.36.121,3707,88.362767000,6.8942,2 objects with urls like: http://googleads.g.doubleclick.net/pagead/ads?clie...
27.60.1.124,173.194.36.121,2182,88.511924000,2.2382,1 objects with urls like: http://googleads.g.doubleclick.net/pagead/ads?clie...
27.60.1.124,173.194.36.77,424,88.609097000,4.8407,0 objects
27.60.1.124,173.194.36.121,580,88.641910000,4.8078,0 objects
27.60.1.124,173.194.36.77,580,88.753461000,4.6964,0 objects
27.60.1.124,173.194.36.77,424,88.839075000,4.8100,0 objects
27.60.1.124,173.194.36.77,424,88.882769000,4.7663,0 objects
27.60.1.124,173.194.36.77,424,88.992301000,6.2639,0 objects
27.60.1.124,173.194.36.77,424,89.070004000,6.0959,0 objects
27.60.1.124,173.194.36.77,580,89.225663000,5.9402,0 objects
27.60.1.124,173.194.36.77,424,89.567658000,5.5981,0 objects
27.60.1.124,173.194.36.89,424,89.804504000,5.2777,0 objects
27.60.1.124,23.35.34.127,4504,90.903388000,0.4058,1 objects with urls like: http://static.chartbeat.com/js/chartbeat.js	90.903...
27.60.1.124,96.17.182.66,1886,91.134298000,0.7355,1 objects with urls like: http://www.indiatimes.com/static_pages/indiatimes....
27.60.1.124,96.17.182.19,2111,91.138075000,0.8513,1 objects with urls like: http://www.speakingtree.in/cache/toi?feed=article&...
27.60.1.124,118.215.159.139,65575,91.139593000,4.5068,1 objects with urls like: http://connect.facebook.net/en_US/all.js	92.174272...
27.60.1.124,31.13.79.17,7377,91.141674000,122.1376,1 objects with urls like: http://www.facebook.com/plugins/like.php?app_id=11...
27.60.1.124,68.232.44.139,58494,91.143554000,10.1169,2 objects with urls like: http://platform.twitter.com/widgets.js	92.17858000...
27.60.1.124,68.232.44.139,368,91.310209000,7.9368,0 objects
27.60.1.124,118.215.159.139,424,91.324206000,7.8442,0 objects
27.60.1.124,31.13.79.17,648,91.324725000,7.9274,0 objects
27.60.1.124,50.17.243.165,1510,91.357115000,4.1333,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
27.60.1.124,118.215.159.139,424,91.376642000,7.7994,0 objects
27.60.1.124,173.252.73.52,648,91.378675000,8.0554,0 objects
27.60.1.124,68.232.44.139,368,91.380723000,7.8662,0 objects
27.60.1.124,65.54.82.162,38681,91.404874000,7.1560,1 objects with urls like: http://ajax.aspnetcdn.com/ajax/jQuery/jquery-1.7.2...
27.60.1.124,23.11.235.43,2131,91.408241000,3.1075,1 objects with urls like: http://card.cricket.timesofindia.indiatimes.com/cr...
27.60.1.124,223.165.26.45,3185,91.410064000,4.0801,1 objects with urls like: http://crifeeds.timesofindia.indiatimes.com/GetCal...
27.60.1.124,68.232.44.139,368,91.545434000,8.1026,0 objects
27.60.1.124,118.215.159.139,424,91.545734000,8.0308,0 objects
27.60.1.124,173.252.73.52,804,91.559372000,8.2751,0 objects
27.60.1.124,184.73.247.29,492,91.592552000,4.4650,0 objects
27.60.1.124,65.54.82.175,560,91.642815000,8.0027,0 objects
27.60.1.124,223.165.26.45,7530,91.651900000,8.0605,1 objects with urls like: http://crifeeds.timesofindia.indiatimes.com/GetCur...
27.60.1.124,96.17.182.32,204,91.792930000,1.6770,0 objects
27.60.1.124,223.165.26.45,580,91.794289000,7.8059,0 objects
27.60.1.124,65.54.82.162,560,91.794694000,7.8510,0 objects
27.60.1.124,50.17.243.165,424,91.795071000,4.2937,0 objects
27.60.1.124,96.17.182.65,4860,91.905869000,2.8401,1 objects with urls like: http://media.indiatimes.in/media/photogallery/2013...
27.60.1.124,96.17.182.65,424,91.998897000,7.5754,0 objects
27.60.1.124,96.17.182.19,4710,92.024337000,2.6617,1 objects with urls like: http://images.speakingtree.iimg.in/files/rsz/fit_s...
27.60.1.124,223.165.26.45,580,92.036948000,7.9593,0 objects
27.60.1.124,65.54.82.175,560,92.037425000,7.9593,0 objects
27.60.1.124,184.73.247.29,424,92.038183000,4.3578,0 objects
27.60.1.124,96.17.182.11,580,92.147642000,7.7786,0 objects
27.60.1.124,96.17.182.11,580,92.240596000,7.6537,0 objects
27.60.1.124,184.31.3.206,44738,94.552700000,4.8935,2 objects with urls like: http://m-static.ak.fbcdn.net/rsrc.php/v2/ym/r/ZNvP...
27.60.1.124,184.31.3.206,580,94.688733000,1.8777,0 objects
27.60.1.124,184.31.3.206,580,94.807943000,7.4125,0 objects
27.60.1.124,184.31.3.206,424,94.941782000,7.2823,0 objects
27.60.1.124,96.17.182.65,12371,95.934451000,1.0819,1 objects with urls like: http://static.ak.facebook.com/connect/xd_arbiter.p...
27.60.1.124,122.252.138.110,16757,95.936571000,2.6002,0 objects
27.60.1.124,31.13.79.1,2997,95.939028000,0.7770,0 objects
27.60.1.124,122.252.138.110,5388,96.059788000,5.9765,0 objects
27.60.1.124,96.17.182.65,424,96.060199000,0.9562,0 objects
27.60.1.124,96.17.182.32,424,96.181876000,0.8344,0 objects
27.60.1.124,122.252.138.110,5264,96.184051000,5.8522,0 objects
27.60.1.124,31.13.79.1,3053,96.186058000,0.9000,0 objects
27.60.1.124,122.252.138.110,5388,96.306513000,5.6777,0 objects
27.60.1.124,96.17.182.32,424,96.306873000,0.7096,0 objects
27.60.1.124,31.13.79.1,4346,96.539999000,119.8884,0 objects
27.60.1.124,31.13.79.1,7653,96.787940000,121.5788,0 objects
27.60.1.124,23.35.33.224,1179,97.770788000,1.3750,1 objects with urls like: http://p.twitter.com/f.gif?_=1366561707143&id=twit...
27.60.1.124,96.17.182.65,12167,100.270893000,0.5527,1 objects with urls like: http://static.ak.facebook.com/connect/xd_arbiter.p...
27.60.1.124,96.17.182.42,424,100.516005000,5.5489,0 objects
27.60.1.124,96.17.182.65,424,100.580143000,5.4731,0 objects
27.60.1.124,50.22.231.36,2198,102.585355000,102.9362,0 objects
27.60.1.124,173.194.36.70,7526,103.429744000,20.8149,0 objects
27.60.1.124,63.116.58.148,2640,112.435514000,1.9287,1 objects with urls like: http://samsungvuiasr.vlingo.com/voicepad/hello	112...
27.60.1.124,31.13.79.1,20579,114.848336000,123.8891,0 objects
27.60.1.124,31.13.79.1,25357,114.926109000,132.6713,0 objects
27.60.1.124,31.13.79.1,5494,114.983111000,123.4192,0 objects
27.60.1.124,31.13.79.1,6284,125.074233000,121.1083,0 objects
27.60.1.124,96.17.182.25,6134,191.188410000,4.5653,1 objects with urls like: http://static.gaana.com/images/albums/20/93820/cro...
27.60.1.124,96.17.182.25,26161,191.190557000,21.6194,1 objects with urls like: http://static.gaana.com/images/albums/89/74889/cro...
27.60.1.124,96.17.182.25,1136,191.192667000,16.6979,1 objects with urls like: http://static.gaana.com/images/albums/17/92317/cro...
27.60.1.124,96.17.182.25,424,191.195102000,14.3284,0 objects
27.60.1.124,96.17.182.25,424,191.196522000,14.3265,0 objects
27.60.1.124,96.17.182.25,424,191.198118000,14.3271,0 objects
27.60.1.124,96.17.182.25,424,191.393262000,14.1311,0 objects
27.60.1.124,96.17.182.25,424,191.396666000,14.1308,0 objects
27.60.1.124,96.17.182.25,424,191.399721000,14.1271,0 objects
27.60.1.124,96.17.182.25,424,191.404350000,14.1219,0 objects
27.60.1.124,96.17.182.25,424,191.406401000,14.1236,0 objects
27.60.1.124,96.17.182.25,424,191.414524000,14.1150,0 objects
27.60.1.124,96.17.182.65,204,191.590206000,1.4233,0 objects
27.60.1.124,96.17.182.65,204,191.605567000,1.4080,0 objects
27.60.1.124,96.17.182.66,500,197.559520000,13.7505,0 objects
27.60.1.124,173.194.36.70,5304,197.914122000,17.6994,0 objects
27.60.1.124,115.112.206.17,724,199.666593000,12.1103,0 objects
27.60.1.124,96.17.182.25,500,199.687430000,12.0656,0 objects
27.60.1.124,23.21.128.184,568,200.847949000,8.6613,0 objects
27.60.1.124,54.225.88.114,1407,201.093583000,6.2658,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
27.60.1.124,23.21.128.184,492,205.527110000,3.9823,0 objects
27.60.1.124,96.17.182.18,424,205.689334000,6.0794,0 objects
27.60.1.124,54.225.88.114,492,205.778157000,3.7307,0 objects
27.60.1.124,115.112.206.17,648,205.879968000,5.9487,0 objects
27.60.1.124,96.17.182.16,424,206.020270000,5.7326,0 objects
27.60.1.124,63.116.58.148,2640,212.325361000,1.5090,1 objects with urls like: http://samsungvuiasr.vlingo.com/voicepad/hello	212...
27.60.1.124,31.13.79.17,8465,216.285876000,3.1217,0 objects
27.60.1.124,31.13.79.17,10578,216.467417000,3.1304,0 objects
27.60.1.124,31.13.79.17,208,219.083301000,0.1855,0 objects
27.60.1.124,96.17.182.65,136,233.293935000,0.0385,0 objects
27.60.1.124,50.22.231.41,1858,242.684356000,2.5813,0 objects
