110.225.91.4,96.17.182.65,424,57.259747000,6.9350,0 objects
110.225.91.4,96.17.182.65,424,57.262677000,6.9320,0 objects
110.225.91.4,96.17.182.65,424,57.265172000,6.9297,0 objects
110.225.91.4,96.17.182.65,424,57.267431000,6.9271,0 objects
110.225.91.4,96.17.182.65,424,57.269174000,6.9168,0 objects
110.225.91.4,96.17.182.65,424,57.270873000,6.9152,0 objects
110.225.91.4,96.17.182.65,424,57.278550000,6.9078,0 objects
110.225.91.4,96.17.182.65,424,57.283365000,6.9029,0 objects
110.225.91.4,96.17.182.65,424,57.455449000,6.7304,0 objects
110.225.91.4,96.17.182.65,424,57.464327000,6.7213,0 objects
110.225.91.4,96.17.182.65,424,57.464654000,6.7209,0 objects
110.225.91.4,96.17.182.65,424,57.478503000,6.7073,0 objects
110.225.91.4,96.17.182.65,424,57.488103000,6.6981,0 objects
110.225.91.4,96.17.182.65,424,57.495317000,6.6901,0 objects
110.225.91.4,96.17.182.65,492,57.502627000,6.6710,0 objects
110.225.91.4,96.17.182.65,424,57.515978000,6.6575,0 objects
110.225.91.4,96.17.182.65,492,57.523265000,6.6504,0 objects
110.225.91.4,96.17.182.65,424,57.677856000,6.4954,0 objects
110.225.91.4,96.17.182.65,424,57.706059000,6.4671,0 objects
110.225.91.4,96.17.182.65,424,57.887653000,6.2854,0 objects
110.225.91.4,96.17.182.65,424,57.917000000,6.2562,0 objects
110.225.91.4,96.17.182.27,30808,58.004143000,0.8332,2 objects with urls like: http://static.gaana.com/images/albums/98/96398/cro...
110.225.91.4,96.17.182.27,19458,58.004509000,0.8326,1 objects with urls like: http://static.gaana.com/images/albums/31/99731/cro...
110.225.91.4,96.17.182.27,7712,58.004864000,0.6490,1 objects with urls like: http://static.gaana.com/images/albums/15/76415/cro...
110.225.91.4,96.17.182.27,14925,58.005173000,0.7315,1 objects with urls like: http://static.gaana.com/images/albums/72/76772/cro...
110.225.91.4,96.17.182.27,424,58.005465000,6.1683,0 objects
110.225.91.4,96.17.182.27,24441,58.005747000,0.8590,1 objects with urls like: http://static.gaana.com/images/albums/89/74889/cro...
110.225.91.4,96.17.182.27,424,58.006044000,6.1673,0 objects
110.225.91.4,96.17.182.27,424,58.006350000,6.1459,0 objects
110.225.91.4,96.17.182.27,580,58.006654000,6.1376,0 objects
110.225.91.4,96.17.182.27,492,58.006963000,6.1354,0 objects
110.225.91.4,96.17.182.27,424,58.007291000,6.1174,0 objects
110.225.91.4,96.17.182.27,424,58.008107000,6.1869,0 objects
110.225.91.4,50.16.236.36,1381,60.110396000,1.4692,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
110.225.91.4,54.243.46.157,424,60.334389000,2.1300,0 objects
110.225.91.4,96.17.182.32,616,63.373218000,6.7827,0 objects
110.225.91.4,96.17.182.32,684,63.373632000,6.7785,0 objects
110.225.91.4,96.17.182.32,424,63.373904000,6.7145,0 objects
110.225.91.4,96.17.182.32,492,63.374157000,6.7141,0 objects
110.225.91.4,96.17.182.32,424,63.374388000,6.7137,0 objects
110.225.91.4,96.17.182.32,424,63.374615000,6.7131,0 objects
110.225.91.4,96.17.182.32,424,63.374864000,6.7127,0 objects
110.225.91.4,96.17.182.32,492,63.375109000,6.7123,0 objects
110.225.91.4,96.17.182.32,424,63.375346000,6.7118,0 objects
110.225.91.4,96.17.182.32,424,63.375582000,6.7112,0 objects
